Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
0,-0.00004,0.26954,-0.06349
0.1,0.00136,0.27102,-0.06347
0.2,0.00328,0.27345,-0.06345
0.3,0.00592,0.28039,-0.06342
0.4,0.00936,0.30209,-0.06336
0.5,0.01404,0.37821,-0.06301
0.6,0.02004,0.47899,-0.06257
0.684,0.026,0.58147,-0.06208
0.762,0.0322,0.68219,-0.06163
0.836,0.03876,0.78437,-0.0612
0.912,0.04628,0.88486,-0.06072
0.98,0.05372,0.98784,-0.06036
1.042,0.061,1.08906,-0.05986
1.1,0.06824,1.19048,-0.05947
1.154,0.07536,1.29291,-0.05911
1.206,0.08252,1.39614,-0.05869
1.256,0.08972,1.4976,-0.05823
1.304,0.09688,1.6005,-0.05781
1.35,0.10396,1.70074,-0.05742
1.394,0.111,1.80242,-0.05696
1.436,0.11792,1.90293,-0.05655
1.478,0.12496,2.00601,-0.05612
1.518,0.13184,2.10705,-0.05571
1.558,0.13884,2.20964,-0.05529
1.6,0.1464,2.31301,-0.05487
1.646,0.15484,2.41441,-0.05448
1.7,0.16508,2.51518,-0.05404
1.754,0.17564,2.61799,-0.05367
1.804,0.18576,2.72213,-0.05322
1.852,0.19572,2.82453,-0.05281
1.898,0.20548,2.92717,-0.0524
1.942,0.21504,3.0306,-0.05199
1.984,0.22428,3.13488,-0.0516
2.024,0.23324,3.23601,-0.05116
2.064,0.24236,3.33978,-0.05076
2.102,0.25116,3.44403,-0.05033
2.138,0.25968,3.54556,-0.04994
2.174,0.26824,3.64922,-0.04951
2.208,0.27644,3.7498,-0.0491
2.242,0.28472,3.85198,-0.04867
2.276,0.29316,3.9555,-0.04825
2.308,0.30116,4.05634,-0.04786
2.34,0.30928,4.15918,-0.04747
2.372,0.31752,4.26307,-0.04702
2.402,0.32532,4.36326,-0.04662
2.432,0.33316,4.46446,-0.04619
2.462,0.34104,4.56716,-0.04578
2.492,0.34904,4.67214,-0.04535
2.522,0.35708,4.77746,-0.04491
2.55,0.36464,4.87771,-0.04452
2.578,0.37232,4.98085,-0.0441
2.606,0.38004,5.08444,-0.04365
2.634,0.38784,5.18941,-0.04319
2.662,0.39564,5.29559,-0.04278
2.69,0.40348,5.40223,-0.04237
2.716,0.41068,5.50302,-0.04195
2.742,0.41796,5.60396,-0.04154
2.768,0.42524,5.70462,-0.04115
2.794,0.4326,5.80871,-0.04072
2.82,0.44,5.91372,-0.04032
2.846,0.44748,6.01986,-0.03989
2.87,0.45444,6.11998,-0.03952
2.896,0.46196,6.22759,-0.0391
2.922,0.46956,6.33595,-0.03866
2.946,0.4766,6.43659,-0.03829
2.97,0.48364,6.53729,-0.03789
2.994,0.49076,6.64091,-0.03748
3.018,0.49788,6.74628,-0.03706
3.042,0.50504,6.84969,-0.0366
3.066,0.51224,6.95413,-0.03614
3.09,0.51948,7.0592,-0.03573
3.114,0.52672,7.16488,-0.03527
3.138,0.53396,7.27105,-0.03487
3.162,0.54124,7.37833,-0.03445
3.186,0.54852,7.48551,-0.03402
3.21,0.55584,7.59245,-0.03358
3.234,0.56316,7.69896,-0.03315
3.258,0.57056,7.80722,-0.03274
3.282,0.578,7.91541,-0.03234
3.304,0.5848,8.01648,-0.03194
3.326,0.59164,8.11688,-0.03151
3.35,0.59912,8.22464,-0.03107
3.374,0.6066,8.3323,-0.03064
3.398,0.61412,8.44011,-0.03027
3.422,0.62168,8.54881,-0.02984
3.444,0.62864,8.64932,-0.02944
3.468,0.63624,8.75758,-0.02902
3.492,0.64384,8.86567,-0.02858
3.516,0.65156,8.97354,-0.02814
3.538,0.6586,9.07367,-0.02775
3.56,0.66568,9.17562,-0.02734
3.582,0.67276,9.2784,-0.02692
3.604,0.67992,9.38207,-0.02652
3.626,0.68708,9.48625,-0.02611
3.648,0.6942,9.59026,-0.02567
3.67,0.7014,9.69389,-0.02525
3.692,0.70864,9.79836,-0.02481
3.714,0.71584,9.90291,-0.0244
3.736,0.72304,10.00766,-0.02398
3.758,0.73024,10.1114,-0.02355
3.78,0.73748,10.21477,-0.02316
3.802,0.74476,10.31803,-0.02274
3.824,0.75204,10.42009,-0.02232
3.846,0.75936,10.52405,-0.02193
3.868,0.76672,10.6277,-0.02149
3.89,0.77404,10.73007,-0.02106
3.912,0.78144,10.83115,-0.02068
3.934,0.78884,10.93136,-0.02033
3.958,0.79696,11.03924,-0.01992
3.982,0.80504,11.14624,-0.01948
4.006,0.81316,11.25372,-0.01904
4.03,0.82136,11.36167,-0.01868
4.054,0.82956,11.46723,-0.01826
4.078,0.8378,11.57129,-0.01783
4.102,0.84608,11.67803,-0.01742
4.126,0.85436,11.78634,-0.01698
4.15,0.86264,11.89441,-0.01653
4.172,0.87028,11.99463,-0.01615
4.194,0.87792,12.09587,-0.01578
4.216,0.8856,12.19896,-0.01537
4.238,0.89332,12.30304,-0.01494
4.26,0.90104,12.41013,-0.01453
4.282,0.90876,12.51882,-0.01409
4.304,0.91648,12.62791,-0.01361
4.326,0.9242,12.73685,-0.01319
4.348,0.93196,12.84635,-0.01275
4.368,0.939,12.94707,-0.01234
4.388,0.94608,13.04933,-0.01196
4.408,0.95312,13.15225,-0.01155
4.428,0.9602,13.25528,-0.01115
4.448,0.96732,13.35692,-0.01075
4.468,0.97444,13.45937,-0.01032
4.488,0.98156,13.56335,-0.00992
4.508,0.98872,13.66878,-0.00953
4.528,0.99584,13.77431,-0.00911
4.548,1.003,13.87896,-0.00869
4.568,1.01016,13.98294,-0.00829
4.588,1.01736,14.08841,-0.00788
4.608,1.02456,14.19414,-0.00748
4.628,1.03176,14.30102,-0.00709
4.648,1.039,14.40801,-0.00669
4.668,1.0462,14.51585,-0.00626
4.688,1.0534,14.62322,-0.00583
4.708,1.06064,14.72993,-0.00542
4.728,1.06788,14.83696,-0.005
4.748,1.07512,14.94453,-0.0046
4.768,1.08236,15.05348,-0.00417
4.788,1.0896,15.16334,-0.00371
4.808,1.09688,15.27192,-0.00328
4.828,1.1042,15.38082,-0.00287
4.848,1.11148,15.49086,-0.00245
4.868,1.1188,15.59993,-0.00198
4.886,1.12536,15.70005,-0.00162
4.906,1.13268,15.81046,-0.00121
4.926,1.14,15.92069,-0.00076
4.946,1.14736,16.03102,-0.00033
4.966,1.15472,16.14104,0.0001
4.986,1.16208,16.25055,0.0005
5.004,1.16868,16.35119,0.00091
5.022,1.17532,16.45193,0.00132
5.04,1.18192,16.55427,0.00173
5.058,1.18852,16.65556,0.00211
5.076,1.19512,16.75609,0.00253
5.094,1.20172,16.85657,0.00293
5.112,1.20836,16.95793,0.0033
5.13,1.21496,17.06029,0.0037
5.148,1.22156,17.16292,0.00413
5.166,1.2282,17.26552,0.00451
5.184,1.23484,17.36841,0.00489
5.202,1.24144,17.47115,0.00533
5.22,1.24808,17.57364,0.00578
5.238,1.25472,17.67541,0.00618
5.256,1.26132,17.77895,0.00659
5.274,1.26796,17.88314,0.00699
5.292,1.2746,17.98852,0.00739
5.31,1.28124,18.09162,0.0078
5.328,1.28792,18.19485,0.00821
5.346,1.2946,18.29786,0.00863
5.364,1.30124,18.40084,0.00903
5.382,1.30796,18.50516,0.00942
5.4,1.3146,18.61029,0.00981
5.418,1.32124,18.71374,0.01022
5.436,1.32788,18.81705,0.01062
